Feature Name,Description,Units,Missing Values,Notes,Source
state  ,Abbreviated state name,,None,"HI, AK, DC excluded",
state_sq_ft  ,,sq ft,None,,https://github.com/jakevdp/data-USstates/blob/master/state-areas.csv
year  ,,,None,,
month  ,,,None,,
date  ,YYYY-MM-DD Format,,None,,
monthly_emissions  ,Monthyl CO2 power plant emissions,Short tons,None,,1990-1996 from https://www.eia.gov/environment/emissions/state/; 1997- from https://campd.epa.gov/
monthly_population  ,Range over 1990-06 thru 2019-12,,All values outside of date range,,https://data.census.gov/
yearly_population  ,Range over 1990-01 thru 2019-12,,All values outside of date range,,https://data.census.gov/
monthly_pop_density  ,monthly_pop / state_sq_ft,,All values outside of date range,,https://data.census.gov/
yearly_pop_density  ,yearly_pop / state_sq_ft,,All values outside of date range,,https://data.census.gov/
monthly_emissions_sma  ,Obtained from monthly_emissions as SMA with window=12,Short tons,Those missing due to SMA calculation,This isn't currently used anywhere (?),
prcp  ,Rain? Maybe sleet?,In?,Ask Josh,,https://www.ncei.noaa.gov/cdo-web/search
snow  ,Snow,In?,Ask Josh,,https://www.ncei.noaa.gov/cdo-web/search
tavg  ,Average monthly temp,Deg?,Ask Josh,,https://www.ncei.noaa.gov/cdo-web/search
gdp_rel_2017  ,GDP adjusted for inflation relative to 2017,Millions of USD,MANY values missing; values present for month=12 within years 1997-2023,Used to generate gdp_rel_2017_interp and yearly_gpd_rel_2017,https://apps.bea.gov/histdatacore/HistFileDetails.html?HistCateID=1&FileGroupID=298
monthly_gdp_rel_2017,"Obtained from yearly_gdp_rel_2017 by linear interpolation, then / 12",Millions of USD (rel 2017),All values outside of date range,,https://apps.bea.gov/histdatacore/HistFileDetails.html?HistCateID=1&FileGroupID=298
yearly_gdp_rel_2017  ,Obtained from gdp_rel_2017 by interpolation of copying value,Millions of USD (rel 2017),All values outside of date range,,https://apps.bea.gov/histdatacore/HistFileDetails.html?HistCateID=1&FileGroupID=298
monthly_energy_prod  ,Obtained by setting each year's month=12 equal to yearly_energy_prod/12 from that year; then linearly interpolating,Billion Btu,All values outside of 1990-01 thru 2022-12,Not missing interpolated values because data goes back to 1960,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
yearly_energy_prod  ,Energy produced per year,Billion Btu,All values outside of 1990-01 thru 2022-12,,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
monthly_energy_use  ,Obtained by setting each year's month=12 equal to yearly_energy_use/12 from that year; then linearly interpolating,Billion Btu,All values outside of 1990-01 thru 2022-12,Not missing interpolated values because data goes back to 1960,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
yearly_energy_use  ,Energy consumed per year,Billion Btu,All values outside of 1990-01 thru 2022-12,,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
monthly_energy_flow  ,Obtained as monthly_energy_prod - monthly_energy_use,Billion Btu,All values outside of 1990-01 thru 2022-12,Not missing interpolated values because data goes back to 1960,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
yearly_energy_flow  ,Obtained as yearly_energy_prod - yearly_energy_use,Billion Btu,All values outside of 1997-01 thru 2022-12,,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
monthly_num_plants  ,Count of power plants operational each month,,All values outside of 1997-01 thru 2020-12,,https://campd.epa.gov/
yearly_num_plants  ,Obtained from monthly_num_plants by restricting to month=12,,All values outside of 1997-01 thru 2020-12,,https://campd.epa.gov/
monthly_energy_total  ,Obtained from yearly_energy_total by linear interpolation,MWhr,"All values outside of thru 1990-01 thru 2023-12, and those missing due to interpolation",,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
yearly_energy_total  ,Total energy produced,MWhr,All values outside of thru 1990-01 thru 2023-12,,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
monthly_energy_renew  ,Interpolated from yearly_energy_renew ,MWhr,"All values outside of thru 1990-01 thru 2023-12, and those missing due to interpolation",,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
yearly_energy_renew  ,"Energy production from renewable sources, which are Wind, Hydroelectric Conventional, Solar Thermal and Photovoltaic, Geothermal",MWhr,All values outside of thru 1990-01 thru 2023-12,,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
monthly_renew_pct  ,monthly_energy_renew / monthly_energy total,,"All values outside of thru 1990-01 thru 2023-12, and those missing due to interpolation",,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
yearly_renew_pct  ,yearly_energy_renew / yearly_energy total,,All values outside of thru 1990-01 thru 2023-12,,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
monthly_energy_fossil  ,Interpolated from yearly_energy_fossil,MWhr,"All values outside of thru 1990-01 thru 2023-12, and those missing due to interpolation",,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
yearly_energy_fossil  ,"Energy production from renewable sources, which are Coal, Natural Gas, Petroleum",MWhr,All values outside of thru 1990-01 thru 2023-12,,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
monthly_fossil_pct  ,monthly_energy_fossil / monthly_energy total,,"All values outside of thru 1990-01 thru 2023-12, and those missing due to interpolation",,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
yearly_fossil_pct  ,yearly_energy_fossil / yearly_energy total,,All values outside of thru 1990-01 thru 2023-12,,https://www.eia.gov/state/seds/seds-data-complete.php?sid=US#Keystatisticsrankings
